,Usage,Condition,Language
0,0,further/split,Chinese
1,0,further/split,Chinese
2,0,further/split,Chinese
3,0,further/split,Chinese
4,0,equal/far,Chinese
5,0,further/split,Chinese
6,0,equal/far,Chinese
7,0,closer/close,Chinese
8,0,further/split,Chinese
9,0,equal/far,Chinese
10,0,equal/far,Chinese
11,0,equal/far,Chinese
12,0,closer/close,Chinese
13,0,closer/close,Chinese
14,0,further/split,Chinese
15,0,further/split,Chinese
16,0,closer/close,Chinese
17,0,further/split,Chinese
18,0,equal/far,Chinese
19,0,further/split,Chinese
20,0,closer/close,Chinese
21,0,further/split,Chinese
22,0,further/split,Chinese
23,0,further/split,Chinese
24,0,equal/far,Chinese
25,0,closer/close,Chinese
26,0,closer/close,Chinese
27,0,equal/far,Chinese
28,0,closer/close,Chinese
29,0,closer/close,Chinese
30,0,equal/far,Chinese
31,0,equal/far,Chinese
32,0,further/split,Chinese
33,0,further/split,Chinese
34,0,further/split,Chinese
35,0,closer/close,Chinese
36,0,equal/far,Chinese
37,0,further/split,Chinese
38,0,closer/close,Chinese
39,0,equal/far,Chinese
40,0,further/split,Chinese
41,0,equal/far,Chinese
42,0,equal/far,Chinese
43,0,equal/far,Chinese
44,0,closer/close,Chinese
45,0,further/split,Chinese
46,0,closer/close,Chinese
47,0,equal/far,Chinese
48,0,further/split,Chinese
49,0,further/split,Chinese
50,0,closer/close,Chinese
51,0,closer/close,Chinese
52,0,closer/close,Chinese
53,0,further/split,Chinese
54,0,equal/far,Chinese
55,0,equal/far,Chinese
56,0,closer/close,Chinese
57,0,equal/far,Chinese
58,0,closer/close,Chinese
59,0,equal/far,Chinese
60,0,closer/close,Chinese
61,0,equal/far,Chinese
62,0,equal/far,Chinese
63,0,further/split,Chinese
64,0,further/split,Chinese
65,0,closer/close,Chinese
66,0,equal/far,Chinese
67,0,equal/far,Chinese
68,0,closer/close,Chinese
69,0,equal/far,Chinese
70,0,further/split,Chinese
71,0,equal/far,Chinese
72,0,closer/close,Chinese
73,0,further/split,Chinese
74,0,equal/far,Chinese
75,0,further/split,Chinese
76,0,further/split,Chinese
77,0,further/split,Chinese
78,0,closer/close,Chinese
79,0,closer/close,Chinese
80,0,equal/far,Chinese
81,0,further/split,Chinese
82,0,further/split,Chinese
83,0,closer/close,Chinese
84,0,closer/close,Chinese
85,0,closer/close,Chinese
86,0,equal/far,Chinese
87,0,further/split,Chinese
88,0,further/split,Chinese
89,0,further/split,Chinese
90,0,equal/far,Chinese
91,0,further/split,Chinese
92,0,further/split,Chinese
93,0,closer/close,Chinese
94,0,further/split,Chinese
95,0,further/split,Chinese
96,0,further/split,Chinese
